stop_lat,wheelchair_boarding,stop_code,stop_lon,stop_id,stop_url,parent_station,stop_desc,stop_name,location_type,zone_id
49.277987,1,61522,-123.127052,11542,https://translink.ca/schedules-and-maps/stop/61522/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_stop&utm_term=61522,,,Southbound Howe St @ Davie St,0,BUS ZN
49.248581,1,53331,-122.843968,11543,https://translink.ca/schedules-and-maps/stop/53331/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_stop&utm_term=53331,,,Northbound Laurentian Cres @ Austin Ave,0,BUS ZN
49.170215,1,61521,-123.125653,11540,https://translink.ca/schedules-and-maps/stop/61521/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_stop&utm_term=61521,,,Westbound Westminster Hwy @ Garden City Rd,0,BUS ZN
49.219164,1,51114,-123.150433,11541,https://translink.ca/schedules-and-maps/stop/51114/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_stop&utm_term=51114,,,Southbound West Blvd @ W 57 Ave,0,BUS ZN
49.452388,2,61528,-123.236624,11546,https://translink.ca/schedules-and-maps/stop/61528/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_stop&utm_term=61528,,,Northbound Hwy 99 Onramp @ Kelvin Grove Way,0,BUS ZN
49.38635,2,61527,-123.25838,11547,https://translink.ca/schedules-and-maps/stop/61527/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_stop&utm_term=61527,,,Northbound Horseshoe Bay Dr @ Pasco Rd,0,BUS ZN
49.157771,1,61526,-123.136495,11544,https://translink.ca/schedules-and-maps/stop/61526/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_stop&utm_term=61526,,,Northbound No. 3 Rd @ Jones Rd,0,BUS ZN
49.027511,1,56113,-122.803368,11545,https://translink.ca/schedules-and-maps/stop/56113/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_stop&utm_term=56113,,,Eastbound Thrift Ave @ Foster St,0,BUS ZN
49.458538,2,61531,-123.236819,11548,https://translink.ca/schedules-and-maps/stop/61531/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_stop&utm_term=61531,,,Southbound Isleview Place @ Lions Bay Ave,0,BUS ZN
49.459217,2,61530,-123.235617,11549,https://translink.ca/schedules-and-maps/stop/61530/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_stop&utm_term=61530,,,Northbound Crosscreek Rd @ Oceanview Rd,0,BUS ZN
49.199727,1,55933,-122.949615,5989,https://translink.ca/schedules-and-maps/stop/55933/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_stop&utm_term=55933,,,22nd Street Station @ Bay 6,0,BUS ZN
49.198895,1,55926,-122.779318,5982,https://translink.ca/schedules-and-maps/stop/55926/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_stop&utm_term=55926,,,Westbound 108 Ave @ 160 St,0,BUS ZN
49.198893,1,59772,-122.783259,5983,https://translink.ca/schedules-and-maps/stop/59772/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_stop&utm_term=59772,,,Westbound 108 Ave @ 158 St,0,BUS ZN
49.198899,2,55924,-122.768262,5980,https://translink.ca/schedules-and-maps/stop/55924/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_stop&utm_term=55924,,,Westbound 108 Ave @ 164 St,0,BUS ZN
49.19888,1,55925,-122.773703,5981,https://translink.ca/schedules-and-maps/stop/55925/schedule?utm_source=referral&utm_medium=google+maps&utm_campaign=gtfs&utm_content=schedules_stop&utm_term=55925,,,Westbound 108 Ave @ 162 St,0,BUS ZN
49.212435,1,,-122.605882,PHWEA,,99956,,Port Haney Station WCE accesible entrance,2,
